mk	F	dF
0.040000000000000001	1.43835e-12	6.91015e-11
0.059999999999999998	1.7677e-13	3.2081e-12
0.080000000000000002	4.0085e-14	4.62028e-13
0.10000000000000001	1.3098e-14	1.19698e-13
0.12	5.29195e-15	4.04108e-14
0.14000000000000001	2.47585e-15	1.67734e-14
0.16	1.29274e-15	7.95366e-15
0.20000000000000001	4.38631e-16	2.28588e-15

