mk	F	dF
0.040000000000000001	7.20223e-21	4.20271e-20
0.059999999999999998	1.56482e-21	7.76468e-21
0.080000000000000002	5.10324e-22	2.26903e-21
0.10000000000000001	2.09292e-22	8.61563e-22
0.12	1.00691e-22	3.88258e-22
0.14000000000000001	5.36487e-23	1.96107e-22
0.16	3.11444e-23	1.09083e-22
0.20000000000000001	1.22048e-23	3.96877e-23

